show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,date_x,crew,orig_lang,budget_x,revenue,score,genre,year_added,month_added,release_day_gap,first_country,target_ages,duration_min
s10,Movie,the starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,2021-09-24 00:00:00,2021,PG-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021-09-17 00:00:00,"Melissa McCarthy, Lilly Maynard, Chris O'Dowd, Jack Maynard, Kevin Kline, Dr Larry Fine, Timothy Olyphant, Travis Delp, Daveed Diggs, Ben, Skyler Gisondo, Dickey, Laura Harrier, Sherri, Rosalind Chao, Fawn, Kimberly Quinn, Regina",English,100000000,369861963.8,71,"['Comedies', 'Dramas']",2021,9,7,United States,Teens,104
s28,Movie,grown ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,2021-09-20 00:00:00,2010,PG-13,103 min,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",2010-06-24 00:00:00,"Adam Sandler, Lenny Feder, Kevin James, Eric Lamonsoff, Chris Rock, Kurt McKenzie, David Spade, Marcus Higgins, Rob Schneider, Rob Hilliard, Salma Hayek, Roxanne Chase-Feder, Maria Bello, Sally Lamonsoff, Maya Rudolph, Deanne McKenzie, Steve Buscemi, Wiley",English,75000000,272222420,64,['Comedies'],2021,9,4106,United States,Teens,103
s29,Movie,dark skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,2021-09-19 00:00:00,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy","A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",2013-03-13 00:00:00,"Keri Russell, Lacy Barrett, Josh Hamilton, Daniel, Dakota Goyo, Jesse, J.K. Simmons, Edwin Pollard, Trevor St. John, Alex Holcombe, Annie Thurman, Shelly, Myndy Crist, Karen, Josh Wingate, Gun Salesperson, Ron Ostrow, Richard",English,3500000,27704111,63,"['Horror Movies', 'Sci-Fi & Fantasy']",2021,9,3112,United States,Teens,97
s30,Movie,paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France",2021-09-19 00:00:00,2013,PG-13,106 min,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",2013-10-03 00:00:00,"Liam Hemsworth, Adam Cassidy, Harrison Ford, Jock Goddard, Gary Oldman, Nicholas Wyatt, Amber Heard, Emma Jennings, Josh Holloway, Agent Gamble, Embeth Davidtz, Judith Bolton, Richard Dreyfuss, Frank Cassidy, Julian McMahon, Meechum, Lucas Till, Kevin",English,40000000,16340767,57,['Thrillers'],2021,9,2908,United States,Teens,106
s42,Movie,jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,2021-09-16 00:00:00,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",1975-11-26 00:00:00,"Roy Scheider, Police Chief Martin Brody, Robert Shaw, Quint, Richard Dreyfuss, Matt Hooper, Murray Hamilton, Mayor Larry Vaughn, Lorraine Gary, Ellen Brody, Jay Mello, Sean Brody, Jeffrey Kramer, Deputy Leonard 'Lenny' Hendricks, Carl Gottlieb, Ben Meadows, Susan Backlinie, Christine 'Chrissie' Watkins",English,12000000,482947378,77,"['Action & Adventure', 'Classic Movies', 'Dramas']",2021,9,16731,United States,Older Kids,124
s43,Movie,jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,2021-09-16 00:00:00,1978,PG,116 min,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",1978-06-16 00:00:00,"Roy Scheider, Police Chief Martin Brody, Lorraine Gary, Ellen Brody, Murray Hamilton, Mayor Larry Vaughn, Joseph Mascolo, Len Peterson, Jeffrey Kramer, Deputy Jeff Hendricks, Collin Wilcox Paxton, Dr. Lureen Elkins, Ann Dusenberry, Tina Wilcox, Mark Gruner, Michael 'Mike' Brody, Barry Coe, Tom Andrews",English,20000000,208900376,60,"['Dramas', 'Horror Movies', 'Thrillers']",2021,9,15798,United States,Older Kids,116
s45,Movie,jaws: the revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,2021-09-16 00:00:00,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",1987-07-17 00:00:00,"Lorraine Gary, Ellen Brody, Lance Guest, Michael Brody, Mario Van Peebles, Jake, Michael Caine, Hoagie Newcombe, Karen Young, Carla Brody, Judith Barsi, Thea Brody, Lynn Whitfield, Louisa, Mitchell Anderson, Sean Brody, Jay Mello, Young Sean Brody",English,23000000,51881013,41,"['Action & Adventure', 'Horror Movies', 'Thrillers']",2021,9,12480,United States,Teens,91
s47,Movie,safe house,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan",2021-09-16 00:00:00,2012,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,2012-02-09 00:00:00,"Denzel Washington, Tobin Frost, Ryan Reynolds, Matt Weston, Vera Farmiga, Catherine Linklater, Brendan Gleeson, David Barlow, Sam Shepard, Harlan Whitford, Rubén Blades, Carlos Villar, Nora Arnezeder, Ana Moreau, Robert Patrick, Daniel Kiefe, Liam Cunningham, Alec Wade",English,85000000,207884401,64,['Action & Adventure'],2021,9,3507,South Africa,Adults,115
s49,Movie,training day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,2021-09-16 00:00:00,2001,R,122 min,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,2001-11-15 00:00:00,"Denzel Washington, Alonzo Harris, Ethan Hawke, Jake Hoyt, Scott Glenn, Roger, Tom Berenger, Stan Gursky, Harris Yulin, Doug Rosselli, Raymond J. Barry, Lou Jacobs, Cliff Curtis, Smiley, Dr. Dre, Paul, Snoop Dogg, Blue",English,45000000,104505352,75,"['Dramas', 'Thrillers']",2021,9,7245,United States,Adults,122
s82,Movie,kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,2021-09-10 00:00:00,2021,R,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",2021-09-10 00:00:00,"Mary Elizabeth Winstead, Kate, Miku Martineau, Ani, Woody Harrelson, Varrick, Tadanobu Asano, Renji, Jun Kunimura, Kijima, MIYAVI, Jojima, Michiel Huisman, Stephen, Mari Yamamoto, Kanako, Hirotaka Renge, Specialist",English,37800000,638719244.4,67,['Action & Adventure'],2021,9,0,United States,Adults,106
s91,Movie,paradise hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath","Spain, United States",2021-09-09 00:00:00,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse.",2020-02-05 00:00:00,"Emma Roberts, Uma, Eiza González, Amarna, Milla Jovovich, The Duchess, Danielle Macdonald, Chloe, Awkwafina, Yu, Jeremy Irvine, Markus, Arnaud Valois, Son, Hunter Tremayne, Drunk Guest, Johnny Melville, Senior II",English,6000000,33100520.4,60,"['Sci-Fi & Fantasy', 'Thrillers']",2021,9,582,Spain,Adults,95
s128,Movie,a cinderella story,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada",2021-09-01 00:00:00,2004,PG,95 min,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,2010-03-31 00:00:00,"Hilary Duff, Sam Montgomery, Chad Michael Murray, Austin Ames, Jennifer Coolidge, Fiona, Dan Byrd, Carter Farrell, Regina King, Rhonda, Julie Gonzalo, Shelby Cummings, Lin Shaye, Mrs. Wells, Madeline Zima, Brianna, Andrea Avery, Gabriella",English,19000000,70112484,65,"['Children & Family Movies', 'Comedies']",2021,9,4172,United States,Older Kids,95
s134,Movie,chappie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","South Africa, United States",2021-09-01 00:00:00,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",2015-03-11 00:00:00,"Sharlto Copley, Chappie, Dev Patel, Deon Wilson, Hugh Jackman, Vincent Moore, Ninja, Ninja, Yo-Landi Visser, Yo-Landi, Sigourney Weaver, Michelle Bradley, Chris Shields, Journalist, Anderson Cooper, Anderson Cooper, Jose Pablo Cantillo, Yankie (Amerika)",English,49000000,105002056,68,"['Action & Adventure', 'Sci-Fi & Fantasy']",2021,9,2366,South Africa,Adults,121
s135,Movie,clear and present danger,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz","United States, Mexico",2021-09-01 00:00:00,1994,PG-13,142 min,"Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",1994-10-06 00:00:00,"Harrison Ford, John P. ""Jack"" Ryan, Willem Dafoe, John Clark, Anne Archer, Cathy Ryan, Joaquim de Almeida, Col. Felix V. Cortez, Henry Czerny, Robert Ritter, Harris Yulin, James Cutter, Donald Moffat, President Bennett, Miguel Sandoval, Ernesto Escobedo, Benjamin Bratt, Captain Ramirez",English,62000000,207500000,66,"['Action & Adventure', 'Dramas']",2021,9,9827,United States,Teens,142
s136,Movie,cliffhanger,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon, Craig Fairbrass, Ralph Waite, Max Perlich, Paul Winfield","United States, Italy, France, Japan",2021-09-01 00:00:00,1993,R,113 min,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",1993-07-08 00:00:00,"Sylvester Stallone, Gabe Walker, John Lithgow, Eric Qualen, Michael Rooker, Hal Tucker, Janine Turner, Jessie Deighan, Rex Linn, Richard Travers, Caroline Goodall, Kristel - Jet Pilot, Leon, Kynette, Craig Fairbrass, Delmar, Gregory Scott Cummins, Ryan",English,65000000,255000000,65,['Action & Adventure'],2021,9,10282,United States,Adults,113
